ID,X,Y,DispX,DispY,VelX,VelY,AccelX,AccelY,InternalForceX,InternalForceY,ExternalForceX,ExternalForceY,StrainEnergy,WorkPotential,PotentialEnergy,KineticEnergy,Lagrangian
0,0.00000E+00,0.00000E+00,-1.02958E-06,-4.54459E-07,1.62245E-04,-2.82391E-05,6.07972E-02,1.61366E-01,5.36747E-03,1.29900E-03,-4.87805E-03,0.00000E+00,9.22848E-13,5.02232E-09,-5.02140E-09,1.09161E-16,5.02140E-09
1,0.00000E+00,1.00000E+00,-1.02801E-06,-4.38996E-07,1.57517E-04,-2.77162E-05,8.84591E-02,9.20859E-02,5.59014E-03,7.41291E-04,-4.87805E-03,0.00000E+00,1.38763E-12,5.01469E-09,-5.01330E-09,1.02959E-16,5.01330E-09
2,0.00000E+00,2.00000E+00,-1.02668E-06,-4.23485E-07,1.55240E-04,-2.61851E-05,1.62860E-01,1.15991E-02,6.18907E-03,9.33731E-05,-4.87805E-03,0.00000E+00,2.03271E-12,5.00818E-09,-5.00615E-09,9.97598E-17,5.00615E-09
3,0.00000E+00,3.00000E+00,-1.02550E-06,-4.07949E-07,1.50853E-04,-2.57084E-05,1.88104E-01,4.48337E-02,6.39229E-03,3.60911E-04,-4.87805E-03,0.00000E+00,2.82369E-12,5.00245E-09,-4.99962E-09,9.42556E-17,4.99962E-09
4,0.00000E+00,4.00000E+00,-1.02457E-06,-3.92336E-07,1.47547E-04,-2.28679E-05,1.49493E-01,2.15044E-02,6.08147E-03,1.73111E-04,-4.87805E-03,0.00000E+00,3.27887E-12,4.99791E-09,-4.99463E-09,8.97296E-17,4.99463E-09
5,0.00000E+00,5.00000E+00,-1.02401E-06,-3.76626E-07,1.44846E-04,-2.01552E-05,1.50420E-01,3.94476E-02,6.08893E-03,3.17554E-04,-4.87805E-03,0.00000E+00,3.85204E-12,4.99518E-09,-4.99133E-09,8.60811E-17,4.99133E-09
6,0.00000E+00,6.00000E+00,-1.02381E-06,-3.60768E-07,1.43889E-04,-1.75040E-05,1.20485E-01,6.35351E-02,5.84795E-03,5.11457E-04,-4.87805E-03,0.00000E+00,4.33634E-12,4.99420E-09,-4.98986E-09,8.45673E-17,4.98986E-09
7,0.00000E+00,7.00000E+00,-1.02401E-06,-3.44711E-07,1.43136E-04,-1.43788E-05,1.15712E-01,8.77523E-02,5.80953E-03,7.06406E-04,-4.87805E-03,0.00000E+00,4.90109E-12,4.99517E-09,-4.99027E-09,8.32963E-17,4.99027E-09
8,0.00000E+00,8.00000E+00,-1.02459E-06,-3.28394E-07,1.41637E-04,-1.09851E-05,1.08044E-01,9.67929E-02,5.74780E-03,7.79183E-04,-4.87805E-03,0.00000E+00,5.39159E-12,4.99798E-09,-4.99259E-09,8.12313E-17,4.99259E-09
9,0.00000E+00,9.00000E+00,-1.02553E-06,-3.11787E-07,1.40934E-04,-8.38175E-06,1.46200E-01,1.79655E-01,6.05496E-03,1.44622E-03,-4.87805E-03,0.00000E+00,6.00264E-12,5.00258E-09,-4.99658E-09,8.02287E-17,4.99658E-09
10,0.00000E+00,1.00000E+01,-1.02677E-06,-2.94817E-07,1.41559E-04,-5.18081E-06,2.00969E-01,1.67302E-01,6.49585E-03,1.34678E-03,-4.87805E-03,0.00000E+00,6.22917E-12,5.00864E-09,-5.00241E-09,8.07645E-17,5.00241E-09
