ID,X,Y,DispX,DispY,VelX,VelY,AccelX,AccelY,InternalForceX,InternalForceY,ExternalForceX,ExternalForceY,StrainEnergy,WorkPotential,PotentialEnergy,KineticEnergy,Lagrangian
0,0.00000E+00,0.00000E+00,-2.09338E-07,-3.22781E-07,-1.99709E-04,-6.73963E-05,-8.85203E-02,3.51638E-02,4.16546E-03,2.83069E-04,-4.87805E-03,0.00000E+00,7.69900E-13,1.02116E-09,-1.02039E-09,1.78815E-16,1.02039E-09
1,0.00000E+00,1.00000E+00,-2.14396E-07,-3.11305E-07,-1.94489E-04,-6.12784E-05,-1.41377E-02,4.98497E-02,4.76424E-03,4.01290E-04,-4.87805E-03,0.00000E+00,5.87797E-13,1.04583E-09,-1.04525E-09,1.67363E-16,1.04525E-09
2,0.00000E+00,2.00000E+00,-2.19542E-07,-2.99755E-07,-1.92072E-04,-5.50624E-05,-1.33114E-01,5.45213E-02,3.80648E-03,4.38896E-04,-4.87805E-03,0.00000E+00,4.42407E-13,1.07094E-09,-1.07049E-09,1.60692E-16,1.07049E-09
3,0.00000E+00,3.00000E+00,-2.24859E-07,-2.88130E-07,-1.90877E-04,-4.98231E-05,-1.12883E-01,9.13297E-02,3.96934E-03,7.35204E-04,-4.87805E-03,0.00000E+00,5.14332E-13,1.09687E-09,-1.09636E-09,1.56638E-16,1.09636E-09
4,0.00000E+00,4.00000E+00,-2.30255E-07,-2.76390E-07,-1.90148E-04,-4.38785E-05,-1.47168E-01,9.42009E-02,3.69334E-03,7.58317E-04,-4.87805E-03,0.00000E+00,4.66674E-13,1.12319E-09,-1.12273E-09,1.53279E-16,1.12273E-09
5,0.00000E+00,5.00000E+00,-2.35740E-07,-2.64527E-07,-1.87852E-04,-3.72775E-05,-1.34159E-01,4.79346E-02,3.79807E-03,3.85873E-04,-4.87805E-03,0.00000E+00,4.71143E-13,1.14995E-09,-1.14948E-09,1.47629E-16,1.14948E-09
6,0.00000E+00,6.00000E+00,-2.41228E-07,-2.52548E-07,-1.83183E-04,-3.08437E-05,-1.58934E-01,5.94256E-03,3.59863E-03,4.78376E-05,-4.87805E-03,0.00000E+00,5.82577E-13,1.17672E-09,-1.17614E-09,1.38892E-16,1.17614E-09
7,0.00000E+00,7.00000E+00,-2.46721E-07,-2.40466E-07,-1.78394E-04,-2.50699E-05,-1.60269E-01,5.05301E-02,3.58788E-03,4.06768E-04,-4.87805E-03,0.00000E+00,7.95758E-13,1.20352E-09,-1.20272E-09,1.30622E-16,1.20272E-09
8,0.00000E+00,8.00000E+00,-2.52158E-07,-2.28255E-07,-1.73548E-04,-2.00058E-05,-1.92844E-01,3.84147E-02,3.32566E-03,3.09238E-04,-4.87805E-03,0.00000E+00,1.10553E-12,1.23004E-09,-1.22893E-09,1.22840E-16,1.22893E-09
9,0.00000E+00,9.00000E+00,-2.57554E-07,-2.15907E-07,-1.67141E-04,-1.65909E-05,-2.15558E-01,-4.63940E-02,3.14281E-03,-3.73472E-04,-4.87805E-03,0.00000E+00,1.47502E-12,1.25636E-09,-1.25488E-09,1.13551E-16,1.25488E-09
10,0.00000E+00,1.00000E+01,-2.62899E-07,-2.03449E-07,-1.62101E-04,-1.37310E-05,-2.13614E-01,2.21855E-02,3.15846E-03,1.78593E-04,-4.87805E-03,0.00000E+00,2.01656E-12,1.28243E-09,-1.28042E-09,1.06523E-16,1.28042E-09
11,0.00000E+00,1.10000E+01,-2.68159E-07,-1.90828E-07,-1.59484E-04,-1.25203E-05,-1.66762E-01,8.26296E-02,3.53562E-03,6.65168E-04,-4.87805E-03,0.00000E+00,2.51119E-12,1.30809E-09,-1.30558E-09,1.03008E-16,1.30558E-09
12,0.00000E+00,1.20000E+01,-2.73277E-07,-1.78015E-07,-1.59102E-04,-1.04114E-05,-7.94015E-02,4.72631E-02,4.23887E-03,3.80468E-04,-4.87805E-03,0.00000E+00,2.79130E-12,1.33306E-09,-1.33027E-09,1.02322E-16,1.33027E-09
13,0.00000E+00,1.30000E+01,-2.78148E-07,-1.65024E-07,-1.59253E-04,-8.68429E-06,-2.88878E-02,5.00270E-03,4.64550E-03,4.02717E-05,-4.87805E-03,0.00000E+00,3.02823E-12,1.35682E-09,-1.35379E-09,1.02383E-16,1.35379E-09
14,0.00000E+00,1.40000E+01,-2.82717E-07,-1.51871E-07,-1.59146E-04,-6.82936E-06,-8.22767E-03,6.60127E-03,4.81182E-03,5.31402E-05,-4.87805E-03,0.00000E+00,3.28485E-12,1.37911E-09,-1.37582E-09,1.02131E-16,1.37582E-09
15,0.00000E+00,1.50000E+01,-2.86954E-07,-1.38563E-07,-1.58522E-04,-5.21414E-06,1.42123E-02,4.60928E-03,4.99246E-03,3.71047E-05,-4.87805E-03,0.00000E+00,3.47879E-12,1.39978E-09,-1.39630E-09,1.01255E-16,1.39630E-09
16,0.00000E+00,1.60000E+01,-2.90809E-07,-1.25127E-07,-1.58024E-04,-3.14866E-06,-1.87390E-03,2.80843E-02,4.86296E-03,2.26079E-04,-4.87805E-03,0.00000E+00,3.80798E-12,1.41858E-09,-1.41477E-09,1.00550E-16,1.41477E-09
17,0.00000E+00,1.70000E+01,-2.94271E-07,-1.11568E-07,-1.57795E-04,-7.26243E-07,-6.95502E-02,3.10978E-02,4.31817E-03,2.50337E-04,-4.87805E-03,0.00000E+00,4.31437E-12,1.43547E-09,-1.43115E-09,1.00222E-16,1.43115E-09
18,0.00000E+00,1.80000E+01,-2.97417E-07,-9.78987E-08,-1.56609E-04,-1.42135E-07,-5.86287E-02,4.87142E-02,4.40609E-03,3.92149E-04,-4.87805E-03,0.00000E+00,4.60411E-12,1.45081E-09,-1.44621E-09,9.87193E-17,1.44621E-09
19,0.00000E+00,1.90000E+01,-3.00220E-07,-8.41134E-08,-1.55756E-04,9.39338E-07,7.55840E-03,6.49484E-02,4.93889E-03,5.22835E-04,-4.87805E-03,0.00000E+00,4.66350E-12,1.46449E-09,-1.45982E-09,9.76503E-17,1.45982E-09
20,0.00000E+00,2.00000E+01,-3.02577E-07,-7.02144E-08,-1.54690E-04,2.15492E-06,1.44555E-02,5.12875E-02,4.99442E-03,4.12864E-04,-4.87805E-03,0.00000E+00,4.82049E-12,1.47598E-09,-1.47116E-09,9.63331E-17,1.47116E-09
21,0.00000E+00,2.10000E+01,-3.04489E-07,-5.62298E-08,-1.52422E-04,2.43515E-06,1.53682E-02,3.58256E-02,5.00176E-03,2.88396E-04,-4.87805E-03,0.00000E+00,4.90769E-12,1.48531E-09,-1.48040E-09,9.35348E-17,1.48040E-09
22,0.00000E+00,2.20000E+01,-3.05953E-07,-4.21872E-08,-1.50523E-04,2.35469E-06,3.26259E-02,1.71443E-02,5.14069E-03,1.38011E-04,-4.87805E-03,0.00000E+00,4.86004E-12,1.49245E-09,-1.48759E-09,9.12174E-17,1.48759E-09
23,0.00000E+00,2.30000E+01,-3.06936E-07,-2.81183E-08,-1.49381E-04,1.62797E-06,3.41673E-03,-1.22050E-02,4.90555E-03,-9.82505E-05,-4.87805E-03,0.00000E+00,4.92793E-12,1.49725E-09,-1.49232E-09,8.98268E-17,1.49232E-09
24,0.00000E+00,2.40000E+01,-3.07467E-07,-1.40498E-08,-1.49373E-04,6.76701E-07,-7.61115E-02,-3.94101E-02,4.26535E-03,-3.17251E-04,-4.87805E-03,0.00000E+00,5.17604E-12,1.49984E-09,-1.49466E-09,8.98086E-17,1.49466E-09
25,0.00000E+00,2.50000E+01,-3.07628E-07,1.05977E-16,-1.49843E-04,5.72194E-12,-1.22069E-01,-4.89114E-07,3.89539E-03,-3.93737E-09,-4.87805E-03,0.00000E+00,5.32510E-12,1.50062E-09,-1.49530E-09,9.03735E-17,1.49530E-09
26,0.00000E+00,2.60000E+01,-3.07467E-07,1.40498E-08,-1.49373E-04,-6.76695E-07,-7.61118E-02,3.94098E-02,4.26535E-03,3.17249E-04,-4.87805E-03,0.00000E+00,5.17604E-12,1.49984E-09,-1.49466E-09,8.98086E-17,1.49466E-09
27,0.00000E+00,2.70000E+01,-3.06936E-07,2.81183E-08,-1.49381E-04,-1.62797E-06,3.41715E-03,1.22060E-02,4.90556E-03,9.82580E-05,-4.87805E-03,0.00000E+00,4.92793E-12,1.49725E-09,-1.49232E-09,8.98268E-17,1.49232E-09
